Bucket label,RT,m/z,Name,Formula,Peak number
1130.96984 Da 10.40 s,0.17,1131.97711,,,bin_91
905.94846 Da 10.40 s,0.17,906.95573,,,bin_92
633.94436 Da 10.40 s,0.17,634.95163,,,bin_93
769.94379 Da 10.40 s,0.17,770.95107,,,bin_94
1198.97833 Da 10.40 s,0.17,1199.9856,,,bin_95
1208.97364 Da 10.40 s,0.17,1209.98092,,,bin_96
1146.63955 Da 10.40 s,0.17,1147.64682,,,bin_97
1623.87872 Da 10.40 s,0.17,812.94663,,,bin_98
89.94389 Da 10.40 s,0.17,90.95117,,,bin_99
1010.95172 Da 10.40 s,0.17,1011.959,,C24H21N25O2S10,bin_100
917.93768 Da 10.40 s,0.17,918.94496,,C37H10N8O16S3,bin_101
300.16197 Da 10.40 s,0.17,301.16924,,,bin_102
1601.87083 Da 10.40 s,0.17,801.94269,,,bin_103
1715.84492 Da 10.40 s,0.17,858.92974,,,bin_104
1731.86963 Da 10.40 s,0.17,866.94209,,,bin_105
947.94559 Da 10.40 s,0.17,948.95286,,,bin_106
304.18144 Da 10.40 s,0.17,305.18871,,C17H24N2O3,bin_107
269.99509 Da 10.40 s,0.17,271.00236,,C6H3N6O5P,bin_108
994.95219 Da 10.40 s,0.17,995.95947,,,bin_109
838.44779 Da 10.40 s,0.17,839.45507,,,bin_110
1002.94576 Da 10.40 s,0.17,1003.95304,,C41H34NO9PS9,bin_111
737.92879 Da 10.40 s,0.17,738.93606,,,bin_112
743.93912 Da 10.40 s,0.17,744.9464,,,bin_113
928.61820 Da 10.40 s,0.17,929.62548,,,bin_114
1245.98779 Da 10.40 s,0.17,1246.99507,,,bin_115
667.94397 Da 10.40 s,0.17,668.95125,,,bin_116
1127.95613 Da 10.40 s,0.17,1128.9634,,C63H135NO10P2,bin_117
405.98733 Da 10.40 s,0.17,406.99461,,,bin_118
1062.95990 Da 10.40 s,0.17,1063.96717,,C28H45N3O18S11,bin_119
1106.96119 Da 10.40 s,0.17,1107.96846,,C64H126N6O8,bin_120
1101.30098 Da 10.40 s,0.17,1102.30826,,C67H31N19,bin_121
650.93505 Da 10.40 s,0.17,651.94232,,C19H17N5O9S6,bin_122
1465.67982 Da 10.58 s,0.18,733.84719,,,bin_123
619.81506 Da 10.67 s,0.18,310.91481,,,bin_124
730.83447 Da 10.68 s,0.18,731.84175,,C21H9N5O11S7,bin_125
1709.63047 Da 10.68 s,0.18,855.82251,,,bin_126
1743.89500 Da 10.90 s,0.18,872.95478,,,bin_127
473.98515 Da 10.90 s,0.18,474.99243,,C11H8N8O10P2,bin_128
718.93521 Da 10.90 s,0.18,719.94248,,C20H13N7O15S4,bin_129
767.43893 Da 10.90 s,0.18,768.44621,,,bin_130
756.94204 Da 10.90 s,0.18,757.94932,,,bin_131
242.95288 Da 10.90 s,0.18,243.96016,,C5HN5O3S2,bin_132
1174.97365 Da 10.90 s,0.18,1175.98093,,,bin_133
1151.97028 Da 10.90 s,0.18,1152.97755,,,bin_134
1140.96355 Da 10.90 s,0.18,1141.97083,,,bin_135
1132.63696 Da 10.90 s,0.18,1133.64424,,,bin_136
702.44419 Da 10.90 s,0.18,703.45147,,,bin_137
940.45191 Da 10.90 s,0.18,941.45918,,,bin_138
937.44256 Da 10.90 s,0.18,938.44984,,C35H61N19O8P2,bin_139
984.94022 Da 10.90 s,0.18,985.9475,,C31H18N5O27P3,bin_140
956.61577 Da 10.90 s,0.18,957.62305,,,bin_141
