Bucket label,RT,m/z,Name,Formula,Peak number
1689.87905 Da 9.89 s,0.16,845.9468,,,pos 1689.87905 Da 9.89 s
895.93287 Da 9.89 s,0.16,896.94015,,C19H44O15S12,pos 895.93287 Da 9.89 s
1033.62460 Da 9.89 s,0.16,1034.63187,,C60H79N11O5,pos 1033.62460 Da 9.89 s
1465.86870 Da 9.89 s,0.16,733.94163,,,pos 1465.86870 Da 9.89 s
1121.95833 Da 9.89 s,0.16,1122.9656,,C54H128N11O10P,pos 1121.95833 Da 9.89 s
1177.97855 Da 9.89 s,0.16,1178.98582,,,pos 1177.97855 Da 9.89 s
926.60866 Da 9.89 s,0.16,927.61594,,C45H95N6O3PS4,pos 926.60866 Da 9.89 s
216.11089 Da 9.89 s,0.16,217.11816,,C9H16N2O4,pos 216.11089 Da 9.89 s
1092.63156 Da 9.89 s,0.16,1093.63884,,C44H92N20O2S5,pos 1092.63156 Da 9.89 s
922.94214 Da 9.89 s,0.16,923.94942,,C25H49NO5S15,pos 922.94214 Da 9.89 s
951.62151 Da 9.89 s,0.16,952.62879,,,pos 951.62151 Da 9.89 s
1015.94962 Da 9.89 s,0.16,1016.95689,,,pos 1015.94962 Da 9.89 s
778.44227 Da 9.89 s,0.16,779.44955,,,pos 778.44227 Da 9.89 s
993.94098 Da 9.89 s,0.16,994.94825,,C31H14N8O27S2,pos 993.94098 Da 9.89 s
1096.96381 Da 9.89 s,0.16,1097.97109,,C25H12N23O23PS2,pos 1096.96381 Da 9.89 s
1827.62398 Da 10.07 s,0.17,914.81927,,,pos 1827.62398 Da 10.07 s
1731.62765 Da 10.07 s,0.17,866.8211,,,pos 1731.62765 Da 10.07 s
698.84651 Da 10.17 s,0.17,699.85379,,,pos 698.84651 Da 10.17 s
1488.69130 Da 10.17 s,0.17,745.35293,,,pos 1488.69130 Da 10.17 s
965.80611 Da 10.17 s,0.17,966.81339,,C47H107N13O3S2,pos 965.80611 Da 10.17 s
1623.65905 Da 10.17 s,0.17,812.8368,,,pos 1623.65905 Da 10.17 s
1785.63769 Da 10.37 s,0.17,893.82612,,,pos 1785.63769 Da 10.37 s
942.61777 Da 10.40 s,0.17,943.62505,,,pos 942.61777 Da 10.40 s
1109.96845 Da 10.40 s,0.17,1110.97573,,,pos 1109.96845 Da 10.40 s
1130.96984 Da 10.40 s,0.17,1131.97711,,,pos 1130.96984 Da 10.40 s
905.94846 Da 10.40 s,0.17,906.95573,,,pos 905.94846 Da 10.40 s
633.94436 Da 10.40 s,0.17,634.95163,,,pos 633.94436 Da 10.40 s
769.94379 Da 10.40 s,0.17,770.95107,,,pos 769.94379 Da 10.40 s
1198.97833 Da 10.40 s,0.17,1199.9856,,,pos 1198.97833 Da 10.40 s
1208.97364 Da 10.40 s,0.17,1209.98092,,,pos 1208.97364 Da 10.40 s
1146.63955 Da 10.40 s,0.17,1147.64682,,,pos 1146.63955 Da 10.40 s
1623.87872 Da 10.40 s,0.17,812.94663,,,pos 1623.87872 Da 10.40 s
89.94389 Da 10.40 s,0.17,90.95117,,,pos 89.94389 Da 10.40 s
1010.95172 Da 10.40 s,0.17,1011.959,,C24H21N25O2S10,pos 1010.95172 Da 10.40 s
917.93768 Da 10.40 s,0.17,918.94496,,C37H10N8O16S3,pos 917.93768 Da 10.40 s
300.16197 Da 10.40 s,0.17,301.16924,,,pos 300.16197 Da 10.40 s
1601.87083 Da 10.40 s,0.17,801.94269,,,pos 1601.87083 Da 10.40 s
1715.84492 Da 10.40 s,0.17,858.92974,,,pos 1715.84492 Da 10.40 s
1731.86963 Da 10.40 s,0.17,866.94209,,,pos 1731.86963 Da 10.40 s
947.94559 Da 10.40 s,0.17,948.95286,,,pos 947.94559 Da 10.40 s
304.18144 Da 10.40 s,0.17,305.18871,,C17H24N2O3,pos 304.18144 Da 10.40 s
269.99509 Da 10.40 s,0.17,271.00236,,C6H3N6O5P,pos 269.99509 Da 10.40 s
994.95219 Da 10.40 s,0.17,995.95947,,,pos 994.95219 Da 10.40 s
838.44779 Da 10.40 s,0.17,839.45507,,,pos 838.44779 Da 10.40 s
1002.94576 Da 10.40 s,0.17,1003.95304,,C41H34NO9PS9,pos 1002.94576 Da 10.40 s
737.92879 Da 10.40 s,0.17,738.93606,,,pos 737.92879 Da 10.40 s
743.93912 Da 10.40 s,0.17,744.9464,,,pos 743.93912 Da 10.40 s
928.61820 Da 10.40 s,0.17,929.62548,,,pos 928.61820 Da 10.40 s
1245.98779 Da 10.40 s,0.17,1246.99507,,,pos 1245.98779 Da 10.40 s
667.94397 Da 10.40 s,0.17,668.95125,,,pos 667.94397 Da 10.40 s
1127.95613 Da 10.40 s,0.17,1128.9634,,C63H135NO10P2,pos 1127.95613 Da 10.40 s
405.98733 Da 10.40 s,0.17,406.99461,,,pos 405.98733 Da 10.40 s
1062.95990 Da 10.40 s,0.17,1063.96717,,C28H45N3O18S11,pos 1062.95990 Da 10.40 s
1106.96119 Da 10.40 s,0.17,1107.96846,,C64H126N6O8,pos 1106.96119 Da 10.40 s
1101.30098 Da 10.40 s,0.17,1102.30826,,C67H31N19,pos 1101.30098 Da 10.40 s
650.93505 Da 10.40 s,0.17,651.94232,,C19H17N5O9S6,pos 650.93505 Da 10.40 s
1465.67982 Da 10.58 s,0.18,733.84719,,,pos 1465.67982 Da 10.58 s
619.81506 Da 10.67 s,0.18,310.91481,,,pos 619.81506 Da 10.67 s
730.83447 Da 10.68 s,0.18,731.84175,,C21H9N5O11S7,pos 730.83447 Da 10.68 s
1709.63047 Da 10.68 s,0.18,855.82251,,,pos 1709.63047 Da 10.68 s
1743.89500 Da 10.90 s,0.18,872.95478,,,pos 1743.89500 Da 10.90 s
473.98515 Da 10.90 s,0.18,474.99243,,C11H8N8O10P2,pos 473.98515 Da 10.90 s
718.93521 Da 10.90 s,0.18,719.94248,,C20H13N7O15S4,pos 718.93521 Da 10.90 s
767.43893 Da 10.90 s,0.18,768.44621,,,pos 767.43893 Da 10.90 s
756.94204 Da 10.90 s,0.18,757.94932,,,pos 756.94204 Da 10.90 s
242.95288 Da 10.90 s,0.18,243.96016,,C5HN5O3S2,pos 242.95288 Da 10.90 s
1174.97365 Da 10.90 s,0.18,1175.98093,,,pos 1174.97365 Da 10.90 s
1151.97028 Da 10.90 s,0.18,1152.97755,,,pos 1151.97028 Da 10.90 s
1140.96355 Da 10.90 s,0.18,1141.97083,,,pos 1140.96355 Da 10.90 s
1132.63696 Da 10.90 s,0.18,1133.64424,,,pos 1132.63696 Da 10.90 s
702.44419 Da 10.90 s,0.18,703.45147,,,pos 702.44419 Da 10.90 s
940.45191 Da 10.90 s,0.18,941.45918,,,pos 940.45191 Da 10.90 s
937.44256 Da 10.90 s,0.18,938.44984,,C35H61N19O8P2,pos 937.44256 Da 10.90 s
984.94022 Da 10.90 s,0.18,985.9475,,C31H18N5O27P3,pos 984.94022 Da 10.90 s
956.61577 Da 10.90 s,0.18,957.62305,,,pos 956.61577 Da 10.90 s
651.90170 Da 10.90 s,0.18,652.90897,,,pos 651.90170 Da 10.90 s
960.95063 Da 10.90 s,0.18,961.9579,,C28H11N13O23S2,pos 960.95063 Da 10.90 s
965.28858 Da 10.90 s,0.18,966.29586,,,pos 965.28858 Da 10.90 s
757.44293 Da 10.90 s,0.18,758.4502,,,pos 757.44293 Da 10.90 s
1059.94942 Da 10.90 s,0.18,1060.95669,,C26H52N4O10S15,pos 1059.94942 Da 10.90 s
1070.95436 Da 10.90 s,0.18,1071.96163,,,pos 1070.95436 Da 10.90 s
1123.96721 Da 10.90 s,0.18,1124.97449,,C41H28N18S11,pos 1123.96721 Da 10.90 s
1092.96268 Da 10.90 s,0.18,1093.96996,,C22H27N15O25S6,pos 1092.96268 Da 10.90 s
974.28778 Da 10.90 s,0.18,975.29506,,C26H64N4O28P2S,pos 974.28778 Da 10.90 s
105.92566 Da 10.90 s,0.18,106.93294,,,pos 105.92566 Da 10.90 s
1607.88931 Da 10.90 s,0.18,804.95193,,,pos 1607.88931 Da 10.90 s
745.97245 Da 10.90 s,0.18,746.97973,,C16H10N16O14S3,pos 745.97245 Da 10.90 s
285.00845 Da 10.90 s,0.18,286.01573,,C8H8N5O3PS,pos 285.00845 Da 10.90 s
786.93577 Da 10.90 s,0.18,787.94304,,C16H6N17O16PS2,pos 786.93577 Da 10.90 s
879.94136 Da 10.90 s,0.18,880.94863,,,pos 879.94136 Da 10.90 s
1038.95250 Da 10.90 s,0.18,1039.95977,,C55H127N10O3PS,pos 1038.95250 Da 10.90 s
873.93454 Da 10.90 s,0.18,874.94182,,C33H10N6O20S2,pos 873.93454 Da 10.90 s
2235.55187 Da 11.08 s,0.18,1118.78321,,,pos 2235.55187 Da 11.08 s
824.83115 Da 11.17 s,0.19,825.83843,,,pos 824.83115 Da 11.17 s
756.84478 Da 11.18 s,0.19,757.85206,,,pos 756.84478 Da 11.18 s
1377.71225 Da 11.31 s,0.19,689.8634,,,pos 1377.71225 Da 11.31 s
832.81878 Da 11.38 s,0.19,833.82605,,,pos 832.81878 Da 11.38 s
3073.85412 Da 11.40 s,0.19,1025.62532,,,pos 3073.85412 Da 11.40 s
1397.86931 Da 11.40 s,0.19,699.94193,,,pos 1397.86931 Da 11.40 s
1145.96105 Da 11.40 s,0.19,1146.96833,,C45H136N13O12PS2,pos 1145.96105 Da 11.40 s
688.93881 Da 11.40 s,0.19,689.94609,,,pos 688.93881 Da 11.40 s
1649.88681 Da 11.40 s,0.19,825.95068,,,pos 1649.88681 Da 11.40 s
1655.85254 Da 11.40 s,0.19,828.93355,,,pos 1655.85254 Da 11.40 s
1087.63125 Da 11.40 s,0.19,1088.63853,,,pos 1087.63125 Da 11.40 s
968.94222 Da 11.40 s,0.19,969.9495,,C50H121N12O3P,pos 968.94222 Da 11.40 s
1827.88653 Da 11.40 s,0.19,914.95054,,,pos 1827.88653 Da 11.40 s
923.93348 Da 11.40 s,0.19,924.94075,,,pos 923.93348 Da 11.40 s
1083.95832 Da 11.40 s,0.19,1084.9656,,,pos 1083.95832 Da 11.40 s
1439.83331 Da 11.40 s,0.19,720.92393,,,pos 1439.83331 Da 11.40 s
722.94122 Da 11.40 s,0.19,723.9485,,C13H18N13O9PS6,pos 722.94122 Da 11.40 s
971.44552 Da 11.40 s,0.19,972.4528,,,pos 971.44552 Da 11.40 s
446.94420 Da 11.40 s,0.19,447.95147,,,pos 446.94420 Da 11.40 s
906.28416 Da 11.40 s,0.19,907.29144,,C28H63N10O9PS6,pos 906.28416 Da 11.40 s
311.91209 Da 11.40 s,0.19,312.91937,,C11H5O3PS3,pos 311.91209 Da 11.40 s
497.94950 Da 11.40 s,0.19,498.95678,,,pos 497.94950 Da 11.40 s
513.92946 Da 11.40 s,0.19,514.93674,,C16H19O5PS6,pos 513.92946 Da 11.40 s
582.93862 Da 11.40 s,0.19,583.9459,,C15H17N7O4S7,pos 582.93862 Da 11.40 s
722.84971 Da 11.63 s,0.19,723.85699,,,pos 722.84971 Da 11.63 s
744.44050 Da 11.90 s,0.2,745.44778,,C24H65N12O10PS,pos 744.44050 Da 11.90 s
963.27750 Da 11.90 s,0.2,964.28477,,,pos 963.27750 Da 11.90 s
248.15923 Da 11.90 s,0.2,249.16651,,C8H20N6O3,pos 248.15923 Da 11.90 s
1025.94619 Da 11.90 s,0.2,1026.95347,,,pos 1025.94619 Da 11.90 s
1785.89330 Da 11.90 s,0.2,893.95393,,,pos 1785.89330 Da 11.90 s
