Bucket label,RT,m/z,Name,Formula,Peak number
837.43259 Da 495.63 s,8.26,838.43986,,,pos 837.43259 Da 495.63 s
100.06844 Da 496.41 s,8.27,101.07572,,,pos 100.06844 Da 496.41 s
715.37128 Da 498.06 s,8.3,716.37856,,C29H62N7O5PS3,pos 715.37128 Da 498.06 s
833.93909 Da 498.06 s,8.3,834.94636,,C17H5N22O12P3S,pos 833.93909 Da 498.06 s
834.43381 Da 498.06 s,8.3,835.44109,,C32H71N2O20P,pos 834.43381 Da 498.06 s
891.89024 Da 498.06 s,8.3,892.89752,,C29H21N2O17PS6,pos 891.89024 Da 498.06 s
77.95649 Da 498.92 s,8.32,78.96376,,,pos 77.95649 Da 498.92 s
208.02335 Da 498.92 s,8.32,105.01895,,C10H8O3S,pos 208.02335 Da 498.92 s
77.94539 Da 501.46 s,8.36,78.95267,,,pos 77.94539 Da 501.46 s
115.52505 Da 504.00 s,8.4,116.53233,,,pos 115.52505 Da 504.00 s
1214.77904 Da 506.55 s,8.44,608.3968,,,pos 1214.77904 Da 506.55 s
95.02639 Da 506.84 s,8.45,96.03367,,,pos 95.02639 Da 506.84 s
208.06353 Da 506.84 s,8.45,105.03904,,C8H8N4O3,pos 208.06353 Da 506.84 s
974.50511 Da 510.72 s,8.51,975.51239,,,pos 974.50511 Da 510.72 s
1348.56466 Da 510.72 s,8.51,675.2896,,C57H86N14O20P2,pos 1348.56466 Da 510.72 s
336.10497 Da 510.72 s,8.51,337.11224,,,pos 336.10497 Da 510.72 s
110.09340 Da 511.52 s,8.53,111.10067,,,pos 110.09340 Da 511.52 s
94.97871 Da 514.03 s,8.57,95.98599,,C4HNS,pos 94.97871 Da 514.03 s
104.93695 Da 514.03 s,8.57,105.94423,,,pos 104.93695 Da 514.03 s
1515.05180 Da 515.77 s,8.6,758.53318,,,pos 1515.05180 Da 515.77 s
1340.69516 Da 515.77 s,8.6,671.35486,,C52H88N30O11S,pos 1340.69516 Da 515.77 s
190.05286 Da 516.33 s,8.61,96.0337,,,pos 190.05286 Da 516.33 s
204.06594 Da 517.45 s,8.62,205.07321,,,pos 204.06594 Da 517.45 s
1514.79724 Da 518.23 s,8.64,758.4059,,,pos 1514.79724 Da 518.23 s
228.14988 Da 519.11 s,8.65,229.15715,,C11H20N2O3,pos 228.14988 Da 519.11 s
330.23378 Da 521.64 s,8.69,331.24106,,C17H34N2O2S,pos 330.23378 Da 521.64 s
892.46535 Da 523.22 s,8.72,893.47262,,C41H84N2O6S6,pos 892.46535 Da 523.22 s
812.45223 Da 528.27 s,8.8,813.45951,,,pos 812.45223 Da 528.27 s
198.04613 Da 530.76 s,8.85,100.03034,,,pos 198.04613 Da 530.76 s
212.11543 Da 536.74 s,8.95,213.1227,,C10H16N2O3,pos 212.11543 Da 536.74 s
154.02161 Da 538.79 s,8.98,155.02889,,,pos 154.02161 Da 538.79 s
225.98685 Da 539.59 s,8.99,226.99413,,C8H6N2O2S2,pos 225.98685 Da 539.59 s
137.01437 Da 540.83 s,9.01,69.51446,,,pos 137.01437 Da 540.83 s
100.02984 Da 544.27 s,9.07,101.03711,,C8H4,pos 100.02984 Da 544.27 s
206.97224 Da 544.27 s,9.07,207.97951,,,pos 206.97224 Da 544.27 s
136.93863 Da 546.81 s,9.11,69.47659,,,pos 136.93863 Da 546.81 s
176.99741 Da 550.81 s,9.18,89.50598,,,pos 176.99741 Da 550.81 s
222.09924 Da 554.38 s,9.24,223.10651,,C11H14N2O3,pos 222.09924 Da 554.38 s
124.97335 Da 555.16 s,9.25,125.98062,,,pos 124.97335 Da 555.16 s
246.07378 Da 555.90 s,9.26,247.08105,,C10H14O7,pos 246.07378 Da 555.90 s
1014.46859 Da 558.44 s,9.31,508.24157,,C42H71N12O13PS,pos 1014.46859 Da 558.44 s
91.03678 Da 559.77 s,9.33,92.04406,,,pos 91.03678 Da 559.77 s
85.99255 Da 566.97 s,9.45,86.99983,,C2H2N2S,pos 85.99255 Da 566.97 s
205.96386 Da 566.97 s,9.45,103.98921,,,pos 205.96386 Da 566.97 s
388.28448 Da 569.49 s,9.49,389.29176,,C22H36N4O2,pos 388.28448 Da 569.49 s
198.04328 Da 569.49 s,9.49,100.02892,,,pos 198.04328 Da 569.49 s
166.95547 Da 571.08 s,9.52,167.96274,,,pos 166.95547 Da 571.08 s
106.53451 Da 574.30 s,9.57,107.54178,,,pos 106.53451 Da 574.30 s
243.89093 Da 577.17 s,9.62,122.95274,,,pos 243.89093 Da 577.17 s
77.51252 Da 581.12 s,9.69,78.5198,,,pos 77.51252 Da 581.12 s
209.94326 Da 581.12 s,9.69,210.95054,,C8H2O3S2,pos 209.94326 Da 581.12 s
130.95687 Da 582.22 s,9.7,131.96415,,,pos 130.95687 Da 582.22 s
234.97251 Da 582.22 s,9.7,235.97979,,C5H5N3O4S2,pos 234.97251 Da 582.22 s
201.03031 Da 583.67 s,9.73,202.03758,,C6H8N3O3P,pos 201.03031 Da 583.67 s
254.16998 Da 584.75 s,9.75,255.17726,,C15H26OS,pos 254.16998 Da 584.75 s
90.01972 Da 585.02 s,9.75,91.02699,,C5H2N2,pos 90.01972 Da 585.02 s
214.06541 Da 585.02 s,9.75,108.03998,,C13H10O3,pos 214.06541 Da 585.02 s
206.96039 Da 585.02 s,9.75,207.96767,,,pos 206.96039 Da 585.02 s
1012.45467 Da 588.73 s,9.81,507.23461,,C34H56N30O4S2,pos 1012.45467 Da 588.73 s
98.00398 Da 594.78 s,9.91,99.01126,,,pos 98.00398 Da 594.78 s
229.94987 Da 595.12 s,9.92,230.95715,,C7H2O7S,pos 229.94987 Da 595.12 s
121.00018 Da 597.30 s,9.95,122.00745,,,pos 121.00018 Da 597.30 s
982.44807 Da 598.84 s,9.98,492.23131,,,pos 982.44807 Da 598.84 s
154.02302 Da 602.07 s,10.03,155.0303,,C6H6N2OS,pos 154.02302 Da 602.07 s
326.07406 Da 602.38 s,10.04,164.04431,,,pos 326.07406 Da 602.38 s
142.03376 Da 602.38 s,10.04,143.04104,,C5H6N2O3,pos 142.03376 Da 602.38 s
308.04618 Da 602.75 s,10.05,155.03037,,,pos 308.04618 Da 602.75 s
225.98672 Da 604.64 s,10.08,226.994,,C8H6N2O2S2,pos 225.98672 Da 604.64 s
77.94542 Da 604.93 s,10.08,78.9527,,,pos 77.94542 Da 604.93 s
79.98566 Da 607.17 s,10.12,80.99294,,,pos 79.98566 Da 607.17 s
137.01574 Da 609.68 s,10.16,69.51514,,,pos 137.01574 Da 609.68 s
182.07407 Da 609.83 s,10.16,183.08135,,C13H10O,pos 182.07407 Da 609.83 s
250.17379 Da 609.98 s,10.17,251.18107,,C19H22,pos 250.17379 Da 609.98 s
85.50115 Da 612.72 s,10.21,86.50842,,,pos 85.50115 Da 612.72 s
89.99385 Da 615.08 s,10.25,91.00113,,,pos 89.99385 Da 615.08 s
98.07278 Da 616.47 s,10.27,99.08005,,C6H10O,pos 98.07278 Da 616.47 s
368.16992 Da 616.47 s,10.27,185.09224,,,pos 368.16992 Da 616.47 s
148.12411 Da 616.47 s,10.27,149.13138,,C11H16,pos 148.12411 Da 616.47 s
248.15900 Da 617.63 s,10.29,249.16628,,C8H20N6O3,pos 248.15900 Da 617.63 s
229.96616 Da 617.63 s,10.29,230.97344,,C5H3N4O3PS,pos 229.96616 Da 617.63 s
446.33292 Da 617.63 s,10.29,447.3402,,C20H38N12,pos 446.33292 Da 617.63 s
212.02616 Da 619.79 s,10.33,107.02036,,,pos 212.02616 Da 619.79 s
212.15198 Da 622.57 s,10.38,213.15926,,C11H20N2O2,pos 212.15198 Da 622.57 s
184.09235 Da 622.57 s,10.38,185.09963,,,pos 184.09235 Da 622.57 s
208.06049 Da 624.09 s,10.4,105.03752,,C10H12N2OS,pos 208.06049 Da 624.09 s
223.99098 Da 627.62 s,10.46,224.99826,,,pos 223.99098 Da 627.62 s
157.99331 Da 627.62 s,10.46,80.00393,,,pos 157.99331 Da 627.62 s
80.97773 Da 630.17 s,10.5,81.98501,,,pos 80.97773 Da 630.17 s
99.04332 Da 630.38 s,10.51,100.0506,,,pos 99.04332 Da 630.38 s
196.05065 Da 631.51 s,10.53,99.0326,,,pos 196.05065 Da 631.51 s
71.89369 Da 632.73 s,10.55,72.90096,,,pos 71.89369 Da 632.73 s
223.97609 Da 632.86 s,10.55,224.98337,,,pos 223.97609 Da 632.86 s
236.00326 Da 634.04 s,10.57,119.00891,,,pos 236.00326 Da 634.04 s
96.94136 Da 635.26 s,10.59,97.94864,,,pos 96.94136 Da 635.26 s
77.99059 Da 645.16 s,10.75,78.99787,,,pos 77.99059 Da 645.16 s
229.95262 Da 645.44 s,10.76,115.98359,,,pos 229.95262 Da 645.44 s
234.14038 Da 647.92 s,10.8,235.14765,,C10H22N2O2S,pos 234.14038 Da 647.92 s
183.95138 Da 650.38 s,10.84,184.95865,,C7H4S3,pos 183.95138 Da 650.38 s
217.00445 Da 650.52 s,10.84,218.01173,,C7H7NO5S,pos 217.00445 Da 650.52 s
88.45744 Da 654.24 s,10.9,89.46472,,,pos 88.45744 Da 654.24 s
193.10455 Da 654.24 s,10.9,194.11183,,C6H15N3O4,pos 193.10455 Da 654.24 s
204.01920 Da 660.55 s,11.01,205.02648,,C7H9O5P,pos 204.01920 Da 660.55 s
106.01818 Da 660.55 s,11.01,107.02546,,C5H2N2O,pos 106.01818 Da 660.55 s
146.01832 Da 661.69 s,11.03,147.0256,,C9H6S,pos 146.01832 Da 661.69 s
504.38416 Da 663.09 s,11.05,505.39144,,C22H44N14,pos 504.38416 Da 663.09 s
117.97606 Da 664.27 s,11.07,118.98334,,C3H2O3S,pos 117.97606 Da 664.27 s
234.17722 Da 665.61 s,11.09,235.18449,,C14H22N2O,pos 234.17722 Da 665.61 s
126.47407 Da 665.61 s,11.09,127.48135,,,pos 126.47407 Da 665.61 s
236.15566 Da 668.16 s,11.14,237.16294,,C10H24N2O2S,pos 236.15566 Da 668.16 s
173.03689 Da 668.19 s,11.14,87.52572,,C7H3N5O,pos 173.03689 Da 668.19 s
998.47480 Da 669.33 s,11.16,500.24468,,C48H75N2O18P,pos 998.47480 Da 669.33 s
1039.50496 Da 669.33 s,11.16,520.75976,,C46H73N9O18,pos 1039.50496 Da 669.33 s
942.51699 Da 669.33 s,11.16,943.52426,,C48H78O18,pos 942.51699 Da 669.33 s
980.46526 Da 669.33 s,11.16,491.23991,,C45H72N8O12S2,pos 980.46526 Da 669.33 s
84.02083 Da 669.33 s,11.16,85.02811,,C4H4O2,pos 84.02083 Da 669.33 s
210.17448 Da 670.70 s,11.18,211.18176,,C12H22N2O,pos 210.17448 Da 670.70 s
242.00509 Da 675.73 s,11.26,243.01237,,,pos 242.00509 Da 675.73 s
88.43137 Da 678.20 s,11.3,89.43865,,,pos 88.43137 Da 678.20 s
97.44124 Da 678.20 s,11.3,98.44852,,,pos 97.44124 Da 678.20 s
230.14387 Da 680.71 s,11.35,231.15114,,C14H18N2O,pos 230.14387 Da 680.71 s
101.06332 Da 683.25 s,11.39,102.07059,,C3H7N3O,pos 101.06332 Da 683.25 s
182.07610 Da 683.25 s,11.39,183.08338,,C10H14OS,pos 182.07610 Da 683.25 s
440.36370 Da 684.70 s,11.41,441.37097,,,pos 440.36370 Da 684.70 s
968.46462 Da 684.70 s,11.41,485.23958,,C41H52N28S,pos 968.46462 Da 684.70 s
912.50613 Da 684.70 s,11.41,913.5134,Soyasaponin II,C47H76O17,pos 912.50613 Da 684.70 s
766.44962 Da 684.70 s,11.41,767.4569,,,pos 766.44962 Da 684.70 s
88.47276 Da 690.92 s,11.52,89.48004,,,pos 88.47276 Da 690.92 s
710.30746 Da 693.18 s,11.55,356.16101,,,pos 710.30746 Da 693.18 s
342.32293 Da 701.11 s,11.69,343.33021,,C16H38N8,pos 342.32293 Da 701.11 s
548.29648 Da 701.11 s,11.69,275.15552,,C14H41N14O7P,pos 548.29648 Da 701.11 s
278.24795 Da 703.62 s,11.73,279.25523,,,pos 278.24795 Da 703.62 s
562.43171 Da 706.10 s,11.77,563.43899,,C20H62N6O9S,pos 562.43171 Da 706.10 s
67.90594 Da 706.10 s,11.77,68.91322,,,pos 67.90594 Da 706.10 s
77.94493 Da 711.17 s,11.85,78.95221,,,pos 77.94493 Da 711.17 s
135.49026 Da 713.45 s,11.89,136.49754,,,pos 135.49026 Da 713.45 s
126.09451 Da 713.73 s,11.9,127.10179,,C5H10N4,pos 126.09451 Da 713.73 s
213.25863 Da 713.73 s,11.9,214.26591,,,pos 213.25863 Da 713.73 s
324.07813 Da 716.28 s,11.94,325.0854,,,pos 324.07813 Da 716.28 s
566.31152 Da 716.28 s,11.94,284.16304,,C17H34N20O3,pos 566.31152 Da 716.28 s
106.03456 Da 720.95 s,12.02,107.04184,,,pos 106.03456 Da 720.95 s
250.21012 Da 721.17 s,12.02,251.2174,,C9H26N6O2,pos 250.21012 Da 721.17 s
260.08863 Da 723.70 s,12.06,261.09591,,C8H8N10O,pos 260.08863 Da 723.70 s
126.97301 Da 723.70 s,12.06,127.98028,,,pos 126.97301 Da 723.70 s
112.94111 Da 731.33 s,12.19,113.94839,,,pos 112.94111 Da 731.33 s
173.03528 Da 732.06 s,12.2,87.52492,,C7H3N5O,pos 173.03528 Da 732.06 s
105.98331 Da 735.91 s,12.27,106.99059,,C6H2S,pos 105.98331 Da 735.91 s
137.01376 Da 737.11 s,12.29,69.51416,,,pos 137.01376 Da 737.11 s
548.29463 Da 738.70 s,12.31,275.15459,,,pos 548.29463 Da 738.70 s
271.27410 Da 738.70 s,12.31,272.28138,,C14H33N5,pos 271.27410 Da 738.70 s
397.27455 Da 738.70 s,12.31,398.28183,,C22H40NO3P,pos 397.27455 Da 738.70 s
274.12336 Da 739.44 s,12.32,275.13064,,C13H22O4S,pos 274.12336 Da 739.44 s
620.48088 Da 743.58 s,12.39,621.48816,,,pos 620.48088 Da 743.58 s
144.02202 Da 745.30 s,12.42,145.02929,,,pos 144.02202 Da 745.30 s
77.48026 Da 746.13 s,12.44,78.48754,,,pos 77.48026 Da 746.13 s
229.92098 Da 756.33 s,12.61,115.96777,,,pos 229.92098 Da 756.33 s
292.19081 Da 766.45 s,12.77,293.19809,,C20H24N2,pos 292.19081 Da 766.45 s
294.20873 Da 766.45 s,12.77,295.21601,,C20H26N2,pos 294.20873 Da 766.45 s
105.98445 Da 768.46 s,12.81,106.99173,,C6H2S,pos 105.98445 Da 768.46 s
128.11052 Da 769.02 s,12.82,129.1178,,C5H12N4,pos 128.11052 Da 769.02 s
277.22732 Da 769.02 s,12.82,278.2346,,C15H27N5,pos 277.22732 Da 769.02 s
131.94007 Da 771.46 s,12.86,132.94735,,,pos 131.94007 Da 771.46 s
87.53678 Da 773.41 s,12.89,88.54406,,,pos 87.53678 Da 773.41 s
258.18061 Da 774.01 s,12.9,259.18788,,C10H22N6O2,pos 258.18061 Da 774.01 s
129.94260 Da 776.55 s,12.94,130.94988,,,pos 129.94260 Da 776.55 s
208.15734 Da 779.09 s,12.98,209.16462,,C12H20N2O,pos 208.15734 Da 779.09 s
161.57159 Da 779.09 s,12.98,162.57887,,,pos 161.57159 Da 779.09 s
170.57688 Da 780.97 s,13.02,171.58415,,,pos 170.57688 Da 780.97 s
336.26002 Da 786.66 s,13.11,337.2673,,C12H32N8O3,pos 336.26002 Da 786.66 s
110.09276 Da 786.66 s,13.11,111.10004,,,pos 110.09276 Da 786.66 s
280.16999 Da 786.66 s,13.11,281.17727,,C10H25N4O3P,pos 280.16999 Da 786.66 s
87.50940 Da 786.66 s,13.11,88.51668,,,pos 87.50940 Da 786.66 s
238.17163 Da 786.66 s,13.11,239.17891,,C11H27O3P,pos 238.17163 Da 786.66 s
392.27514 Da 786.66 s,13.11,393.28242,,,pos 392.27514 Da 786.66 s
404.22833 Da 789.17 s,13.15,203.12144,,C13H28N10O5,pos 404.22833 Da 789.17 s
422.24348 Da 789.17 s,13.15,212.12902,,C15H38N2O11,pos 422.24348 Da 789.17 s
193.10141 Da 791.03 s,13.18,194.10868,,C5H15N5OS,pos 193.10141 Da 791.03 s
427.25054 Da 791.68 s,13.19,214.63255,,C25H29N7,pos 427.25054 Da 791.68 s
432.24829 Da 791.68 s,13.19,433.25556,,C21H32N6O4,pos 432.24829 Da 791.68 s
231.14111 Da 791.68 s,13.19,232.14838,,,pos 231.14111 Da 791.68 s
734.52399 Da 791.68 s,13.19,368.26927,,C40H70N4O8,pos 734.52399 Da 791.68 s
370.27008 Da 791.68 s,13.19,371.27735,,C17H34N6O3,pos 370.27008 Da 791.68 s
241.29433 Da 791.68 s,13.19,242.30161,,,pos 241.29433 Da 791.68 s
252.15405 Da 794.21 s,13.24,253.16133,,C8H16N10,pos 252.15405 Da 794.21 s
303.32012 Da 794.21 s,13.24,304.32739,,C17H41N3O,pos 303.32012 Da 794.21 s
101.02699 Da 799.04 s,13.32,102.03426,,,pos 101.02699 Da 799.04 s
267.27798 Da 799.12 s,13.32,268.28525,,,pos 267.27798 Da 799.12 s
255.31266 Da 801.67 s,13.36,256.31993,,,pos 255.31266 Da 801.67 s
306.20816 Da 801.67 s,13.36,307.21544,,C16H26N4O2,pos 306.20816 Da 801.67 s
126.00582 Da 804.22 s,13.4,127.0131,,C4H2N2O3,pos 126.00582 Da 804.22 s
1120.63901 Da 805.96 s,13.43,561.32678,,,pos 1120.63901 Da 805.96 s
105.95249 Da 806.75 s,13.45,106.95976,,,pos 105.95249 Da 806.75 s
394.28715 Da 809.31 s,13.49,395.29443,,C12H34N12O3,pos 394.28715 Da 809.31 s
137.01606 Da 811.77 s,13.53,69.51531,,,pos 137.01606 Da 811.77 s
203.00205 Da 817.97 s,13.63,102.5083,,,pos 203.00205 Da 817.97 s
145.04911 Da 827.19 s,13.79,73.53183,,,pos 145.04911 Da 827.19 s
346.20972 Da 832.27 s,13.87,347.217,,C16H30N2O6,pos 346.20972 Da 832.27 s
229.95137 Da 838.86 s,13.98,115.98296,,,pos 229.95137 Da 838.86 s
130.96421 Da 839.93 s,14.0,131.97148,,,pos 130.96421 Da 839.93 s
181.02329 Da 847.57 s,14.13,91.51892,,,pos 181.02329 Da 847.57 s
242.14628 Da 850.14 s,14.17,243.15356,,C15H18N2O,pos 242.14628 Da 850.14 s
258.17988 Da 852.70 s,14.21,259.18715,,C10H30N2OS2,pos 258.17988 Da 852.70 s
99.02045 Da 855.25 s,14.25,100.02772,,,pos 99.02045 Da 855.25 s
197.99955 Da 855.25 s,14.25,100.00705,,,pos 197.99955 Da 855.25 s
477.28419 Da 856.27 s,14.27,478.29146,,C23H44NO7P,pos 477.28419 Da 856.27 s
271.23727 Da 860.35 s,14.34,272.24454,,C13H29N5O,pos 271.23727 Da 860.35 s
401.39063 Da 860.35 s,14.34,402.39791,,C17H51N7OS,pos 401.39063 Da 860.35 s
144.02430 Da 861.34 s,14.36,145.03158,,C6H8O2S,pos 144.02430 Da 861.34 s
248.19577 Da 862.90 s,14.38,249.20305,,,pos 248.19577 Da 862.90 s
304.17509 Da 862.90 s,14.38,305.18237,,C12H24N4O5,pos 304.17509 Da 862.90 s
208.15534 Da 862.90 s,14.38,209.16261,,C7H20N4O3,pos 208.15534 Da 862.90 s
269.33056 Da 862.90 s,14.38,270.33784,,,pos 269.33056 Da 862.90 s
234.17837 Da 865.46 s,14.42,235.18565,,C12H26O4,pos 234.17837 Da 865.46 s
144.97741 Da 868.02 s,14.47,73.49598,,,pos 144.97741 Da 868.02 s
86.02080 Da 871.85 s,14.53,87.02807,,,pos 86.02080 Da 871.85 s
283.34871 Da 873.08 s,14.55,284.35599,,,pos 283.34871 Da 873.08 s
256.20300 Da 875.46 s,14.59,257.21028,,,pos 256.20300 Da 875.46 s
296.20064 Da 875.46 s,14.59,297.20792,,C18H24N4,pos 296.20064 Da 875.46 s
174.03636 Da 881.81 s,14.7,88.02546,,C4H6N4O4,pos 174.03636 Da 881.81 s
268.22440 Da 883.15 s,14.72,269.23168,,C14H28N4O,pos 268.22440 Da 883.15 s
786.64166 Da 884.14 s,14.74,394.32811,,,pos 786.64166 Da 884.14 s
756.55793 Da 885.70 s,14.76,757.56521,,,pos 756.55793 Da 885.70 s
751.60491 Da 885.70 s,14.76,752.61218,,,pos 751.60491 Da 885.70 s
298.18211 Da 888.25 s,14.8,299.18938,,C17H22N4O,pos 298.18211 Da 888.25 s
712.52429 Da 888.25 s,14.8,713.53156,,C29H64N18OS,pos 712.52429 Da 888.25 s
663.53153 Da 890.80 s,14.85,664.5388,,C27H78N5O8PS,pos 663.53153 Da 890.80 s
619.50142 Da 890.80 s,14.85,620.5087,,,pos 619.50142 Da 890.80 s
244.23726 Da 890.80 s,14.85,245.24453,,,pos 244.23726 Da 890.80 s
668.49027 Da 890.80 s,14.85,669.49755,,C29H60N14O4,pos 668.49027 Da 890.80 s
87.49049 Da 893.36 s,14.89,88.49777,,,pos 87.49049 Da 893.36 s
575.46897 Da 893.36 s,14.89,576.47625,,C20H53N19O,pos 575.46897 Da 893.36 s
394.23976 Da 894.30 s,14.91,395.24704,,C20H42OS3,pos 394.23976 Da 894.30 s
395.29359 Da 895.91 s,14.93,396.30087,,,pos 395.29359 Da 895.91 s
238.16595 Da 895.91 s,14.93,239.17323,,C9H18N8,pos 238.16595 Da 895.91 s
414.26137 Da 895.91 s,14.93,208.13796,,C19H30N10O,pos 414.26137 Da 895.91 s
460.28361 Da 895.91 s,14.93,461.29089,,C24H32N10,pos 460.28361 Da 895.91 s
398.30476 Da 895.91 s,14.93,399.31204,,C17H43N4O4P,pos 398.30476 Da 895.91 s
225.14014 Da 895.91 s,14.93,226.14741,,C7H15N9,pos 225.14014 Da 895.91 s
234.12969 Da 896.83 s,14.95,235.13697,,,pos 234.12969 Da 896.83 s
492.35918 Da 898.45 s,14.97,493.36646,,C33H48O3,pos 492.35918 Da 898.45 s
404.29544 Da 898.45 s,14.97,405.30271,,C25H40O4,pos 404.29544 Da 898.45 s
360.26069 Da 898.45 s,14.97,361.26797,,C14H32N8O3,pos 360.26069 Da 898.45 s
448.32726 Da 898.45 s,14.97,449.33454,,,pos 448.32726 Da 898.45 s
336.26187 Da 901.89 s,15.03,337.26914,,C16H36N2O5,pos 336.26187 Da 901.89 s
134.03966 Da 904.60 s,15.08,135.04693,,C5H10O2S,pos 134.03966 Da 904.60 s
393.36077 Da 906.03 s,15.1,394.36804,,C21H43N7,pos 393.36077 Da 906.03 s
280.18954 Da 906.03 s,15.1,281.19681,,C14H24N4O2,pos 280.18954 Da 906.03 s
382.23548 Da 913.31 s,15.22,383.24276,,C18H26N10,pos 382.23548 Da 913.31 s
519.32971 Da 914.01 s,15.23,520.33699,,C29H41N7O2,pos 519.32971 Da 914.01 s
200.09735 Da 915.77 s,15.26,201.10462,,,pos 200.09735 Da 915.77 s
197.99672 Da 915.79 s,15.26,100.00564,,,pos 197.99672 Da 915.79 s
278.63812 Da 916.39 s,15.27,279.64539,,,pos 278.63812 Da 916.39 s
85.98701 Da 920.01 s,15.33,86.99429,,C3H2OS,pos 85.98701 Da 920.01 s
142.98538 Da 923.55 s,15.39,143.99266,,C5H5NS2,pos 142.98538 Da 923.55 s
1374.82572 Da 924.05 s,15.4,688.42013,,,pos 1374.82572 Da 924.05 s
687.59615 Da 926.07 s,15.43,688.60342,,,pos 687.59615 Da 926.07 s
665.15529 Da 926.07 s,15.43,666.16257,,,pos 665.15529 Da 926.07 s
665.40649 Da 927.60 s,15.46,666.41376,,,pos 665.40649 Da 927.60 s
1308.29179 Da 927.60 s,15.46,655.15317,,,pos 1308.29179 Da 927.60 s
1330.96781 Da 928.60 s,15.48,666.49118,,,pos 1330.96781 Da 928.60 s
1311.43222 Da 928.60 s,15.48,656.72339,,,pos 1311.43222 Da 928.60 s
643.38734 Da 929.13 s,15.49,644.39462,,C25H57N9O6S2,pos 643.38734 Da 929.13 s
1264.40848 Da 931.14 s,15.52,633.21151,,,pos 1264.40848 Da 931.14 s
340.31060 Da 931.14 s,15.52,341.31788,,C20H40N2O2,pos 340.31060 Da 931.14 s
644.45411 Da 931.14 s,15.52,645.46139,,C33H72O5S3,pos 644.45411 Da 931.14 s
1287.42907 Da 931.14 s,15.52,644.72181,,,pos 1287.42907 Da 931.14 s
644.37738 Da 931.68 s,15.53,645.38465,,C26H64N2O9S3,pos 644.37738 Da 931.68 s
1264.26009 Da 931.68 s,15.53,633.13732,,,pos 1264.26009 Da 931.68 s
621.38030 Da 932.73 s,15.55,622.38757,,C27H56N7O5PS,pos 621.38030 Da 932.73 s
1244.73641 Da 933.64 s,15.56,623.37548,,,pos 1244.73641 Da 933.64 s
338.29556 Da 933.70 s,15.56,339.30283,,C20H38N2O2,pos 338.29556 Da 933.70 s
427.23159 Da 933.70 s,15.56,214.62307,,C21H29N7O3,pos 427.23159 Da 933.70 s
1242.39761 Da 933.70 s,15.56,622.20608,,,pos 1242.39761 Da 933.70 s
1352.98649 Da 933.70 s,15.56,677.50052,,,pos 1352.98649 Da 933.70 s
620.46428 Da 933.70 s,15.56,621.47155,,C19H52N22O2,pos 620.46428 Da 933.70 s
294.20805 Da 933.70 s,15.56,295.21532,,C15H26N4O2,pos 294.20805 Da 933.70 s
106.01619 Da 933.70 s,15.56,107.02346,,C5H2N2O,pos 106.01619 Da 933.70 s
1242.90545 Da 933.70 s,15.56,622.46,,,pos 1242.90545 Da 933.70 s
610.18639 Da 933.70 s,15.56,611.19367,,,pos 610.18639 Da 933.70 s
1176.21162 Da 936.18 s,15.6,589.11309,,,pos 1176.21162 Da 936.18 s
654.22299 Da 936.26 s,15.6,655.23027,,C34H39O11P,pos 654.22299 Da 936.26 s
1176.84523 Da 936.26 s,15.6,589.42989,,,pos 1176.84523 Da 936.26 s
1308.79268 Da 936.79 s,15.61,655.40362,,,pos 1308.79268 Da 936.79 s
1198.22177 Da 937.33 s,15.62,600.11816,,,pos 1198.22177 Da 937.33 s
581.41525 Da 938.82 s,15.65,582.42253,,C30H55N5O6,pos 581.41525 Da 938.82 s
1198.72554 Da 941.90 s,15.7,600.37004,,,pos 1198.72554 Da 941.90 s
621.12101 Da 941.90 s,15.7,622.12828,,,pos 621.12101 Da 941.90 s
1220.23661 Da 943.86 s,15.73,611.12558,,,pos 1220.23661 Da 943.86 s
796.53116 Da 943.86 s,15.73,399.27285,,,pos 796.53116 Da 943.86 s
599.18076 Da 943.96 s,15.73,600.18803,,,pos 599.18076 Da 943.96 s
267.09733 Da 943.96 s,15.73,268.10461,,C8H18N3O5P,pos 267.09733 Da 943.96 s
1222.85877 Da 943.96 s,15.73,612.43666,,,pos 1222.85877 Da 943.96 s
370.30391 Da 949.08 s,15.82,371.31119,,C17H42N2O6,pos 370.30391 Da 949.08 s
414.32190 Da 949.08 s,15.82,415.32917,,C22H38N8,pos 414.32190 Da 949.08 s
676.52539 Da 951.80 s,15.86,339.26997,,,pos 676.52539 Da 951.80 s
418.31119 Da 954.08 s,15.9,419.31847,,C15H42N6O7,pos 418.31119 Da 954.08 s
506.37538 Da 954.08 s,15.9,507.38265,,C26H54N2O5S,pos 506.37538 Da 954.08 s
330.24700 Da 954.08 s,15.9,331.25428,,C16H42S3,pos 330.24700 Da 954.08 s
374.28009 Da 954.08 s,15.9,375.28736,,,pos 374.28009 Da 954.08 s
378.29463 Da 954.08 s,15.9,379.30191,,C17H34N10,pos 378.29463 Da 954.08 s
462.34444 Da 954.08 s,15.9,463.35172,,C16H47N8O5P,pos 462.34444 Da 954.08 s
304.26656 Da 956.61 s,15.94,305.27383,,C12H32N8O,pos 304.26656 Da 956.61 s
412.28588 Da 956.61 s,15.94,413.29315,,C24H36N4O2,pos 412.28588 Da 956.61 s
715.60404 Da 959.13 s,15.99,716.61132,,,pos 715.60404 Da 959.13 s
